"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags","ResourceName"
"pmgi_hsa_uniprot.rda","Pseudo-pathways topologies grouped by Uniprot keywords for HSA species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Homo sapiens",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/pmgi_hsa_uniprot.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","pmgi_hsa_uniprot.rda"
"pmgi_mmu_genes.rda","Pseudo-pathways topologies grouped by genes for MMU species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Mus musculus",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/pmgi_mmu_genes.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","pmgi_mmu_genes.rda"
"pmgi_mmu_GO.rda","Pseudo-pathways topologies grouped by GO terms for MMU species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Mus musculus",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/pmgi_mmu_GO.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","pmgi_mmu_GO.rda"
"pmgi_mmu_uniprot.rda","Pseudo-pathways topologies grouped by Uniprot keywords for MMU species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Mus musculus",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/pmgi_mmu_uniprot.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","pmgi_mmu_uniprot.rda"
"pmgi_rno_genes.rda","Pseudo-pathways topologies grouped by genes for RNO species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Rattus norvegicus",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/pmgi_rno_genes.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","pmgi_rno_genes.rda"
"pmgi_rno_GO.rda","Pseudo-pathways topologies grouped by GO terms for RNO species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Rattus norvegicus",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/pmgi_rno_GO.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","pmgi_rno_GO.rda"
"pmgi_rno_uniprot.rda","Pseudo-pathways topologies grouped by Uniprot keywords for RNO species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Rattus norvegicus",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/pmgi_rno_uniprot.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","pmgi_rno_uniprot.rda"
"xref_hsa.rda","XRef transformation of genes for HSA species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Homo sapiens",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/xref_hsa.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","xref_hsa.rda"
"xref_mmu.rda","XRef transformation of genes for MMU species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Mus musculus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/xref_mmu.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","xref_mmu.rda"
"xref_rno.rda","XRef transformation of genes for RNO species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Rattus norvegicus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/xref_rno.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","xref_rno.rda"
